hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,hyperparam_weight_decay,perf_best_val_accuracy,perf_test_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel
200.0,0.1,1334.0,0.0001,91.71,91.71,47985.6,3072.61,51058.21,224.61446769790723,247.6,69.53,246851.30000000005,76.2547770700637,79.0,59.75432211101001,73.0,1132.6932728290558,False
200.0,0.1,1334.0,0.0001,91.71,91.71,51431.03,3176.37,54607.4,228.69854941069815,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,1135.9036231040957,True
200.0,0.1,8202.0,0.0001,91.62,91.62,48409.74,3048.85,51458.59,232.8242325158948,253.18,76.36,256339.48000000016,79.30699364214351,82.0,59.49227974568574,74.0,1136.4656558036804,False
200.0,0.1,7551.0,0.0001,91.91,91.91,48198.85,3012.29,51211.14,233.98557377049173,254.92,76.53,256916.15999999992,79.55464480874316,82.0,59.88433515482696,74.0,1130.9533259868622,False
200.0,0.1,7442.0,0.0001,92.07,92.08,56700.13,3355.72,60055.85,235.1646232006769,260.95,89.6,277729.41999999946,82.24386113463167,84.0,72.79339542760373,89.0,1212.701360464096,True
127.0,0.12509036182415,7666.0,5.1688838033162136e-05,91.21,91.21,30899.66,1915.74,32815.4,227.7756920903955,254.67,72.2,161265.19,77.74717514124293,81.0,59.2909604519774,75.0,734.2502024173737,False
297.0,0.098882708825036,1467.0,2.0632053540357726e-05,90.84,90.84,93697.47,6603.72,100301.19,225.94957458563547,253.14,76.31,408968.7300000002,80.67016574585635,83.0,54.14585635359117,72.0,1876.6504802703855,False
174.0,0.0581900481401697,475.0,0.000528712216806,92.49,92.47,54771.71,3835.69,58607.4,224.16428163653637,247.14,82.14,235596.6599999997,81.3510941960038,83.0,55.163653663177925,71.0,1084.2347404956818,False
258.0,0.0725769465755838,7029.0,4.662605411914375e-05,90.54,90.51,81789.33,5717.96,87507.29,223.8457556270093,249.67,83.01,348080.1499999995,82.08231511254019,84.0,55.05594855305466,72.0,1602.0406455993652,False
232.0,0.0824881357114582,9042.0,2.246738829107202e-05,90.77,90.77,75805.42,5226.55,81031.97,215.41653089887663,244.4,83.56,306753.1400000004,82.50280898876404,84.0,54.643960674157306,74.0,1468.3369345664978,False
275.0,0.0515358973328021,5793.0,0.0001990643629058,92.01,92.0,91790.43,6360.85,98151.28,213.89693028705352,242.82,83.77,365122.0600000004,82.56473345049795,84.0,54.00527240773287,72.0,1759.708713054657,False
213.0,0.0647668852638524,4708.0,0.0006598858465262,92.29,92.28,83599.49,5654.96,89254.45,215.82103703703717,245.3,92.31,320494.24000000017,82.54276094276095,84.0,64.34545454545454,88.0,1530.4646003246307,True
153.0,0.1281603904091234,9992.0,0.000471188804304,92.32,92.31,60690.83,4099.32,64790.15,216.8574462114128,246.2,91.74,231820.61000000025,82.59401309635173,84.0,63.950420954162766,87.0,1102.0343878269196,True
156.0,0.0505336421108525,2705.0,4.674257413692909e-05,90.82,90.82,63017.96,4318.2,67336.16,214.8670390554041,247.52,92.13,236568.6099999999,82.45776566757493,84.0,63.3496821071753,86.0,1135.1668214797974,True
214.0,0.0958368498253521,3821.0,0.0001733551855566,92.14,92.15,88637.45,6089.76,94727.21,215.35421844342707,245.92,91.89,329276.6,82.64486592544147,84.0,62.20470896010465,86.0,1576.9449481964111,True
282.0,0.1116024070523123,8189.0,0.0002286844007351,92.41,92.42,121574.58,8265.16,129839.74,211.7737085769984,240.77,92.26,434559.6500000007,82.51267056530214,84.0,61.13304093567251,89.0,2117.8777158260345,True
152.0,0.0706559680502897,9751.0,0.0002363971669851,92.12,92.11,36892.28,2321.01,39213.29,227.94725978647705,251.1,75.2,192159.54000000012,78.23606168446027,80.0,59.21470937129301,74.0,872.9922816753387,False
263.0,0.1345605456624013,7147.0,0.0001485289384847,92.02,92.02,63188.64,3938.59,67127.23,237.48011157601172,259.25,81.04,340546.48000000085,81.52440725244072,83.0,60.49581589958159,75.0,1475.6209123134613,False
167.0,0.1023272640093158,7414.0,0.0002078906160795,92.23,92.22,40383.11,2529.3,42912.41,231.8084649122806,253.35,85.39,211409.31999999992,82.37719298245614,83.0,60.843201754385966,75.0,942.3043115139008,False
234.0,0.0565039925540922,4320.0,1.726599016191108e-05,90.23,90.21,56638.6,3529.37,60167.97,228.2146489859594,250.01,83.76,292571.17999999993,82.34867394695787,83.0,60.69812792511701,75.0,1320.3502731323242,False
128.0,0.0604707314642248,6982.0,0.000154562566543,91.86,91.87,36144.62,2183.93,38328.55,238.1812052980128,263.39,89.05,179826.80999999965,79.56291390728477,83.0,72.25033112582781,88.0,776.0397713184357,True
271.0,0.0583560786722039,8373.0,3.145519287133136e-05,90.78,90.78,76150.02,4600.41,80750.43,236.2657801642452,264.83,89.37,374008.73000000016,81.89576753000631,84.0,74.14024005053696,90.0,1626.0594394207,True
179.0,0.10837470048302,2554.0,0.0001269243991384,92.35,92.34,50652.24,3053.39,53705.63,235.9936847103516,263.98,89.57,248501.3500000002,82.20892687559355,84.0,73.31813865147198,91.0,1081.978291273117,True
203.0,0.0897487135803232,7360.0,2.597194195703524e-05,90.79,90.79,57390.47,3441.54,60832.01,234.78251049538216,263.78,90.58,279625.97000000015,82.42653232577666,84.0,73.57178841309823,91.0,1223.256725549698,True
125.0,0.0695838211012058,8672.0,0.0005635734059579,91.04,91.04,35330.41,2118.63,37449.04,234.18112771739115,257.46,90.0,172357.30999999988,82.12364130434783,83.0,73.27309782608695,89.0,755.784768819809,True
147.0,0.1023789694064601,1025.0,0.0001613135613347,91.4,91.4,41603.95,2483.3,44087.25,235.6199190751443,262.43,89.73,203811.22999999984,82.17919075144509,84.0,73.36416184971098,89.0,888.9256513118744,True
140.0,0.1101595966753657,7971.0,2.623325227236444e-05,91.12,91.13,39647.28,2360.47,42007.75,235.6362181818177,261.41,91.01,194399.8799999996,82.21212121212122,84.0,73.18060606060607,89.0,847.6682045459747,True
143.0,0.0533064717707472,5368.0,3.049877998988578e-05,90.21,90.21,40525.89,2415.19,42941.08,234.81217339667447,261.19,88.93,197711.8499999999,81.99049881235155,83.0,73.00712589073635,90.0,865.528648853302,True
108.0,0.079167574134119,5255.0,3.4156748305029015e-05,90.41,90.42,30645.71,1832.36,32478.07,236.45347962382428,262.37,90.96,150857.3199999999,82.11598746081505,83.0,73.17554858934169,89.0,655.5144646167755,True
289.0,0.0636225082996187,409.0,7.587162403319904e-05,91.3,91.29,81728.44,4877.04,86605.48,234.7615625000004,262.23,90.78,398155.6100000006,82.43278301886792,84.0,73.6067216981132,89.0,1741.0687944889069,True
153.0,0.0880393018497036,3439.0,0.0006533236756768,92.29,92.29,43263.48,2580.04,45843.52,237.5361290322577,263.07,90.2,213544.9799999997,82.14460511679644,84.0,73.4460511679644,90.0,923.8873929977416,True
140.0,0.065292553015874,4040.0,7.850628651774768e-05,90.74,90.73,39673.59,2361.09,42034.68,238.14685230024176,263.48,90.42,196709.2999999997,82.08353510895884,84.0,72.70823244552058,89.0,848.2425899505615,True
209.0,0.076750747431187,3388.0,0.0002856612742773,92.19,92.18,59027.61,3549.91,62577.52,237.31635399673743,264.72,90.97,290949.8500000001,82.18433931484502,84.0,73.52202283849918,90.0,1259.6944530010223,True
193.0,0.072917693807245,2883.0,3.0972630623385896e-05,90.5,90.49,54361.51,3272.19,57633.7,237.4949160035369,263.25,90.5,268606.75000000023,82.24580017683466,84.0,73.47391688770999,89.0,1161.930470943451,True
271.0,0.0953980241223835,9805.0,0.0002532742402547,92.27,92.28,76421.66,4558.1,80979.76,236.1256710775048,264.43,89.76,374731.44000000006,82.2463768115942,84.0,73.63579080025205,90.0,1629.4975373744965,True
131.0,0.062161416122425,8649.0,4.561127826318631e-05,91.09,91.09,37080.79,2229.94,39310.73,237.7362127107654,263.38,90.42,183294.6200000001,82.10246433203632,84.0,73.17898832684826,90.0,792.4452562332153,True
155.0,0.1062694583817204,8899.0,0.0001339379067484,92.17,92.16,43909.26,2616.31,46525.57,234.4475219298246,261.91,90.82,213816.14000000004,81.78947368421052,84.0,73.65021929824562,90.0,936.8536076545716,True
167.0,0.0938480360077568,3237.0,6.592623658442999e-05,91.38,91.38,47313.43,2815.86,50129.29,235.98766802443973,260.68,89.78,231739.8899999998,82.21588594704684,84.0,73.70264765784114,89.0,1008.3988313674928,True
296.0,0.0660476286100822,6252.0,0.0001671871525631,91.95,91.96,83663.52,5003.2,88666.72,234.89083573487028,261.98,89.92,407535.5999999999,82.41902017291066,84.0,73.77463976945245,89.0,1781.3179354667664,True
189.0,0.1210775906641986,8543.0,1.0520467131875386e-05,90.12,90.15,53348.19,3185.56,56533.75,235.54682023486907,260.31,89.97,260750.33000000007,82.1156278229449,83.0,73.50767841011744,89.0,1136.7039296627045,True
203.0,0.0740043258167639,7886.0,0.0003130381237263,92.03,92.05,57352.11,3416.86,60768.97,236.16449579831868,261.98,90.21,281035.74999999924,82.28067226890757,84.0,73.38991596638655,89.0,1221.887805223465,True
